psraid,sample,state,cregion,usr,eminuse,intmob,pialql1,smart1,SmartPhone,pial1,pial2,pial3,pial4,pial5,pial6,pial7,pial8,employ,par,sex,age,educ2,hisp,race,inc,weight,standwt
102579,1,37,3,S,2,2,1,2,2, , , , ,2, ,2, ,1,2,2,60,5,2,1,3,1.04347826086957,.249757838961973
102584,1,54,3,S,1,1,1,1,1,1,2,1,1,2, ,2, ,1,2,2,53,5,2,5,7,4.43478260869565,1.06147081558839
102585,1,12,3,S,1,2,1,2,2,2,2,2,2,2, ,2, ,3,2,1,67,6,2,1,5,1.34782608695652,.322603875325882
102595,1,42,1,S,1,1,1,1,1,1,1,2,2,2, ,1,9,2,2,2,62,4,2,1,99,2.1304347826087,.509922254547362
102598,1,51,3,S,1,1,1,1,1,2,1,2,2,2, ,2, ,3,2,2,67,4,2,1,3,1.1304347826087,.270570992208804
102599,1,12,3,S,1,2,1,2,2,2,2,2,2,2, ,2, ,3,2,2,74,3,2,1,2,3.26086956521739,.780493246756166
102601,1,51,3,S,1,1,1,1,1,1,2,1,2,2, ,2, ,1,2,2,40,6,2,1,8,2.60869565217391,.624394597404933
102604,1,34,1,S,1,1,1,1,1,2,2,2,2,2, ,2, ,3,1,1,45,6,2,9,9,2.56521739130435,.613988020781517
102608,1,26,2,S,1,1,1,2,2,2,1,1,1,2, ,2, ,1,1,2,52,3,2,1,6,6.30434782608696,1.50895361039525
102619,1,36,1,S,1,1,1,1,1,2,2,2,2,2, ,2, ,2,2,2,63,8,2,1,8,1.08695652173913,.260164415585389
102631,1,48,3,S,2,2,2, ,3, , , , , , , , ,3,2,1,77,1,2,1,2,5.65217391304348,1.35285496104402
102633,1,48,3,U,2,2,1,8,2, , , , ,2, ,2, ,1,2,1,59,3,2,1,2,3.8695652173913,.926185319483984
102649,1,5,3,R,1,1,2, ,3,2,2,2,2, , , , ,3,2,2,42,3,2,2,1,10.3913043478261,2.48717181299632
102655,1,17,2,U,1,1,1,1,1,1,1,1,1,2, ,1,6,1,2,1,99,6,2,1,9,1.47826086956522,.353823605196129
102658,1,19,2,S,1,1,1,1,1,1,1,2,2,2, ,2, ,1,1,1,39,6,2,1,6,2.65217391304348,.634801174028348
102673,1,40,3,U,1,1,1,1,1,2,2,2,2,2, ,2, ,1,1,2,48,3,2,1,2,7.43478260869565,1.77952460260406
102676,1,17,2,S,1,1,2, ,3,2,2,2,9, , , , ,3,1,1,99,9,1,2,99,2.39130434782609,.572361714287855
102679,1,27,2,S,1,1,1,2,2,2,2,2,2,2, ,2, ,3,2,2,55,3,2,1,99,4.47826086956522,1.0718773922118
102684,1,12,3,R,2,2,2, ,3, , , , , , , , ,3,2,2,86,4,2,1,3,2.26086956521739,.541141984417608
102688,1,17,2,S,1,1,1,1,1,2,2,2,2,2, ,2, ,3,1,2,42,4,2,1,5,6.39130434782609,1.52976676364209
102698,1,22,3,S,2,1,1,2,2,2,2,2,2,2, ,2, ,3,2,1,70,5,2,2,6,1.39130434782609,.333010451949298
